Date,Price,Open,High,Low,Vol.,Change %,Name
13-Sep-21,"44,949.50","46,060.80","46,807.70","43,463.20",96.15K,-2.42%,Bitcoin
12-Sep-21,"46,062.30","45,162.60","46,386.40","44,755.20",44.52K,1.99%,Bitcoin
11-Sep-21,"45,161.90","44,844.90","45,975.60","44,766.60",41.58K,0.71%,Bitcoin
10-Sep-21,"44,842.80","46,385.90","47,021.60","44,283.60",75.62K,-3.33%,Bitcoin
9-Sep-21,"46,385.60","46,057.60","47,305.70","45,609.00",73.63K,0.70%,Bitcoin
8-Sep-21,"46,061.40","46,774.10","47,316.90","44,493.70",100.48K,-1.54%,Bitcoin
7-Sep-21,"46,779.60","52,674.20","52,885.30","43,072.40",187.56K,-11.19%,Bitcoin
6-Sep-21,"52,672.10","51,769.40","52,726.20","51,002.80",69.46K,1.75%,Bitcoin
5-Sep-21,"51,768.60","49,918.70","51,878.20","49,492.40",57.30K,3.71%,Bitcoin
4-Sep-21,"49,918.40","49,999.30","50,534.60","49,461.40",48.14K,-0.16%,Bitcoin
3-Sep-21,"49,999.00","49,269.50","51,008.80","48,377.30",88.08K,1.47%,Bitcoin
2-Sep-21,"49,274.30","48,817.80","50,355.30","48,612.90",80.21K,0.93%,Bitcoin
1-Sep-21,"48,819.40","47,129.20","49,121.00","46,533.10",74.38K,3.58%,Bitcoin
31-Aug-21,"47,130.40","46,989.10","48,217.00","46,709.30",71.48K,0.29%,Bitcoin
30-Aug-21,"46,992.70","48,777.10","48,886.00","46,876.90",61.68K,-3.66%,Bitcoin
29-Aug-21,"48,777.40","48,899.70","49,621.70","47,870.10",47.62K,-0.24%,Bitcoin
28-Aug-21,"48,897.10","49,062.80","49,289.40","48,428.50",36.73K,-0.34%,Bitcoin
27-Aug-21,"49,064.30","46,830.20","49,142.00","46,371.50",62.47K,4.77%,Bitcoin
26-Aug-21,"46,831.60","48,994.40","49,347.80","46,360.40",73.79K,-4.41%,Bitcoin
25-Aug-21,"48,994.50","47,707.40","49,230.20","47,163.30",63.54K,2.68%,Bitcoin
24-Aug-21,"47,714.70","49,532.50","49,847.40","47,623.60",74.26K,-3.68%,Bitcoin
23-Aug-21,"49,539.70","49,255.40","50,498.80","49,038.60",75.37K,0.58%,Bitcoin
22-Aug-21,"49,254.50","48,870.40","49,480.30","48,151.00",49.32K,0.77%,Bitcoin
21-Aug-21,"48,875.80","49,330.00","49,719.10","48,293.50",18.20K,-0.91%,Bitcoin
20-Aug-21,"49,324.00","46,756.70","49,343.30","46,646.80",83.19K,5.49%,Bitcoin
19-Aug-21,"46,755.90","44,725.90","47,012.30","43,986.70",77.92K,4.54%,Bitcoin
18-Aug-21,"44,723.80","44,691.10","46,004.90","44,230.00",22.36K,0.07%,Bitcoin
17-Aug-21,"44,691.60","45,907.50","47,140.60","44,441.30",84.14K,-2.84%,Bitcoin
16-Aug-21,"45,996.30","46,991.60","48,002.40","45,672.10",2.41K,-2.12%,Bitcoin
15-Aug-21,"46,991.30","47,082.60","47,344.10","45,564.10",58.11K,-0.19%,Bitcoin
14-Aug-21,"47,081.50","47,809.60","48,090.90","46,117.20",64.29K,-1.52%,Bitcoin
13-Aug-21,"47,809.10","44,404.00","47,836.00","44,242.40",75.27K,7.67%,Bitcoin
12-Aug-21,"44,403.40","45,562.30","46,213.80","43,814.70",81.07K,-2.55%,Bitcoin
11-Aug-21,"45,564.30","45,593.20","46,736.50","45,367.90",75.43K,-0.06%,Bitcoin
10-Aug-21,"45,593.80","46,281.80","46,663.40","44,681.20",80.55K,-1.49%,Bitcoin
