Price,Day,Day1
258.757,Wednesday,3
259.83,Tuesday,2
247.49,Monday,1
223.57,Sunday,0
225.197,Saturday,6
241.399,Friday,5
252.999,Thursday,4
257.87,Wednesday,3
260.978,Tuesday,2
261.307,Monday,1
273.603,Sunday,0
300.927,Saturday,6
308.174,Friday,5
285.754,Thursday,4
278.408,Wednesday,3
267.17,Tuesday,2
244.655,Monday,1
252.375,Sunday,0
256.269,Saturday,6
220.879,Friday,5
226.48,Thursday,4
218.974,Wednesday,3
236.827,Tuesday,2
221.456,Monday,1
202.291,Sunday,0
195.231,Saturday,6
211.84,Friday,5
202.352,Thursday,4
196.661,Wednesday,3
195.771,Tuesday,2
193.762,Monday,1
184.239,Sunday,0
184.061,Saturday,6
183.401,Friday,5
171.66,Thursday,4
176.2,Wednesday,3
186.19,Tuesday,2
185.639,Monday,1
195.38,Sunday,0
199.991,Saturday,6
200.276,Friday,5
199.733,Thursday,4
206.11,Wednesday,3
201.698,Tuesday,2
200.462,Monday,1
214.226,Sunday,0
226.208,Saturday,6
220.61,Friday,5
201.329,Thursday,4
200.133,Wednesday,3
203.751,Tuesday,2
191.595,Monday,1
190.759,Sunday,0
182.816,Saturday,6
180.142,Friday,5
180.657,Thursday,4
187.812,Wednesday,3
178.32,Tuesday,2
175.978,Monday,1
165.119,Sunday,0
171.868,Saturday,6
170.02,Friday,5
179.507,Thursday,4
181.499,Wednesday,3
177.538,Tuesday,2
208.039,Monday,1
227.219,Sunday,0
227.5,Saturday,6
236.694,Friday,5
226.58,Thursday,4
237.066,Wednesday,3
210.389,Tuesday,2
207.709,Monday,1
213.589,Sunday,0
225.942,Saturday,6
196.382,Friday,5
183.757,Thursday,4
181.551,Wednesday,3
181.442,Tuesday,2
167.351,Monday,1
150.731,Sunday,0
155.393,Saturday,6
155.026,Friday,5
143.71,Thursday,4
155.941,Wednesday,3
141.916,Tuesday,2
132.049,Monday,1
129.4,Sunday,0
133.349,Saturday,6
134.673,Friday,5
133.217,Thursday,4
122.44,Wednesday,3
134.709,Tuesday,2
137.11,Monday,1
140.97,Sunday,0
137.642,Saturday,6
137.821,Friday,5
129.542,Thursday,4
149.71,Wednesday,3
151.893,Tuesday,2
151.949,Monday,1
142.881,Sunday,0
143.531,Saturday,6
143.772,Friday,5
152.611,Thursday,4
147.34,Wednesday,3
133.39,Tuesday,2
138.968,Monday,1
170.162,Sunday,0
177.179,Saturday,6
172.169,Friday,5
169.531,Thursday,4
168.764,Wednesday,3
158.432,Tuesday,2
155.518,Monday,1
161.151,Sunday,0
136.781,Saturday,6
126.302,Friday,5
