Date,Price,Open,High,Low,Vol.,Change %
26-Sep-21,150.849,150.85,153.347,142.001,69.02M,-0.06%
25-Sep-21,150.94,152.061,155.742,148.865,72.92M,-0.71%
24-Sep-21,152.021,163.84,165.95,141.813,69.57M,-7.21%
23-Sep-21,163.84,161.46,164.75,157.242,71.66M,1.47%
22-Sep-21,161.46,148.448,161.761,145.37,70.05M,9.00%
21-Sep-21,148.132,156.99,162.247,144.901,69.48M,-5.64%
20-Sep-21,156.99,175.6,175.87,153.761,71.68M,-10.58%
19-Sep-21,175.56,181.341,181.65,172.74,68.85M,-3.18%
18-Sep-21,181.331,179.79,185.327,178.001,75.85M,0.85%
17-Sep-21,179.81,185.249,190.288,178.001,83.63M,-2.94%
16-Sep-21,185.251,189.06,195.13,181.574,93.44M,-1.97%
15-Sep-21,188.971,183.046,191.758,179.76,75.58M,3.33%
14-Sep-21,182.889,179.269,188.741,176.204,71.59M,2.02%
13-Sep-21,179.269,183.239,233.814,170.921,42.90M,-2.17%
12-Sep-21,183.239,178.53,185.941,175.221,40.61M,2.64%
11-Sep-21,178.52,174.051,186.139,173.402,43.45M,2.57%
10-Sep-21,174.041,180.3,187.327,170.917,43.16M,-3.47%
9-Sep-21,180.3,179.673,188.492,177.104,42.55M,0.41%
8-Sep-21,179.567,177.948,188.707,169.646,36.93M,0.91%
7-Sep-21,177.948,219.402,221.827,163.417,41.09M,-18.90%
6-Sep-21,219.42,231.53,232.27,215.002,54.30M,-5.23%
5-Sep-21,231.53,212.02,232.171,210.473,52.80M,9.09%
4-Sep-21,212.239,212.763,224.99,208.762,53.99M,-0.22%
3-Sep-21,212.7,183.372,217.6,180.037,2.07M,15.91%
2-Sep-21,183.5,180.841,187.891,179.5,683.37K,1.47%
1-Sep-21,180.841,171.539,182.703,168.906,37.72M,5.45%
31-Aug-21,171.49,167.349,175.252,165.74,36.13M,2.49%
30-Aug-21,167.329,174.352,176.348,166.65,37.78M,-4.00%
29-Aug-21,174.292,175.48,182.589,173.101,39.23M,-0.67%
28-Aug-21,175.46,176.13,176.97,171.43,34.06M,-0.37%
27-Aug-21,176.12,167.61,176.139,165.093,37.99M,5.08%
26-Aug-21,167.61,177.82,180.13,165.037,40.91M,-5.75%
25-Aug-21,177.839,173.511,178.869,169.329,46.00M,2.44%
24-Aug-21,173.6,186.96,188.46,172.744,45.75M,-7.17%
23-Aug-21,187.013,185.911,191.26,183.694,166.37K,0.58%
22-Aug-21,185.929,179.697,189.548,178.689,49.53M,3.47%
21-Aug-21,179.698,183.549,184.341,176.81,46.32M,-2.11%
20-Aug-21,183.568,175.68,183.979,174.251,44.93M,4.49%
19-Aug-21,175.68,166.701,175.777,162.752,43.78M,5.34%
18-Aug-21,166.782,168.775,174.457,163.01,42.33M,-1.18%
17-Aug-21,168.776,178.025,184.3,168.071,47.45M,-5.21%
16-Aug-21,178.048,184.621,188.739,176.641,1.81M,-3.62%
15-Aug-21,184.729,182.791,186.39,175.682,50.00M,1.10%
14-Aug-21,182.71,183.27,184.955,175.2,944.59K,-0.31%
13-Aug-21,183.27,165.352,184.41,164.135,45.52M,10.83%
12-Aug-21,165.356,170.736,179.599,160.991,1.46M,-3.18%
11-Aug-21,170.789,165.314,176.008,164.273,23.87M,3.30%
10-Aug-21,165.332,166.401,168.149,158.86,23.59M,-0.67%
9-Aug-21,166.441,149.672,170.487,145.347,23.85M,11.22%
8-Aug-21,149.653,155.98,157.497,147.303,22.06M,-4.10%
7-Aug-21,156.057,147.883,156.299,147.134,1.33M,5.61%
6-Aug-21,147.771,143.514,150.672,141.774,19.45M,3.08%
5-Aug-21,143.36,142.559,145.108,136.26,615.05K,0.54%
4-Aug-21,142.588,138.364,144.449,135.68,18.62M,3.14%
3-Aug-21,138.25,141.39,143.19,135.873,402.66K,-2.23%
2-Aug-21,141.41,140.351,145.819,138.938,231.32K,0.75%
1-Aug-21,140.35,144.093,149.71,138.384,20.14M,-3.00%
31-Jul-21,144.691,145.556,146.478,141.891,18.53M,-0.61%
30-Jul-21,145.58,141.29,145.751,135.948,18.93M,3.04%
29-Jul-21,141.29,140.257,142.951,136.864,544.09K,0.99%
28-Jul-21,139.9,134.747,141.929,132.671,728.40K,3.84%
27-Jul-21,134.729,131.112,135.005,127.471,17.75M,2.77%
26-Jul-21,131.094,127.709,140.323,126.979,19.30M,2.75%
25-Jul-21,127.59,125.886,127.959,123.781,120.65K,1.64%
24-Jul-21,125.531,124.153,127.399,123.842,15.64M,1.04%
23-Jul-21,124.237,120.718,124.621,117.067,15.75M,2.91%
22-Jul-21,120.718,117.689,121.995,115.679,15.73M,2.64%
21-Jul-21,117.615,107.252,119.16,105.158,15.92M,9.64%
20-Jul-21,107.27,113.102,115.025,104.049,766.19K,-5.15%
19-Jul-21,113.098,119.163,120.681,111.865,16.46M,-5.10%
18-Jul-21,119.172,119.87,124.019,116.409,15.75M,-0.58%
17-Jul-21,119.87,120.594,122.818,117.702,608.60K,-0.60%
16-Jul-21,120.594,125.653,127.786,120.43,16.88M,-4.02%
15-Jul-21,125.642,131.059,133.078,122.066,17.13M,-4.13%
14-Jul-21,131.056,131.42,132.388,124.07,17.68M,-0.27%
13-Jul-21,131.41,133.391,134.592,129.54,17.68M,-1.51%
12-Jul-21,133.424,134.16,139.678,132.006,18.63M,-0.55%
11-Jul-21,134.16,133.99,136.417,132.089,162.24K,0.13%
10-Jul-21,133.982,134.543,136.702,130.512,17.88M,-0.41%
9-Jul-21,134.535,130.53,135.725,127.795,15.99M,3.07%
8-Jul-21,130.53,137.403,137.698,127.904,13.56M,-4.99%
7-Jul-21,137.39,138.91,142.908,136.957,13.82M,-1.10%
6-Jul-21,138.913,137.7,142.669,135.704,13.31M,0.85%
